Species,Family,Higher_level,Diversity,Size/Weight/Age,Length Type,Min depth,Max depth,Northernmost Lat (north is +),Southernmost Lat,Max abs lat,Min temp,Max temp,Trophic Level,distribution,habitat,burrowing,Activity,Citation,Categories,Counter
Scarus_niger,Scaridae,,,40,TL male/unsexed,0,20,30,-27,30,NA,NA,2,"Indo-Pacific:  Red Sea south to Sodwana Bay, South Africa (Ref. 5490) and east to the Society Islands, north to the Ryukyu Islands, south to Shark Bay, Western Australia and the southern Great Barrier Reef.",reef-associated; marine; depth range 0 - 15 m (Ref. 9710),,Diurnal,McCauley et al 2012,,1
Scarus_oviceps,Scaridae,,,35,TL male/unsexed,1,20,30,-27,30,NA,NA,2,"Indo-Pacific:  Mauritius (Ref. 5503) to the Line and Tuamoto islands, north to the Ryukyu Islands, south to Shark Bay and the Great Barrier Reef.",reef-associated; marine; depth range 1 - 15 m (Ref. 30874),,Diurnal,McCauley et al 2012,,1
Scarus_psittacus,Scaridae,,,30,TL male/unsexed,2,25,36,-35,36,NA,NA,2,"Indo-Pacific:  Red Sea south to Sodwana Bay, South Africa (Ref. 5490) and east to the Hawaiian, Marquesan, and Tuamoto islands, north to southern Japan, south to Shark Bay, Western Australia and Lord Howe Island.",reef-associated; marine; depth range 2 - 25 m (Ref. 58302),,Diurnal,McCauley et al 2012,,1
Scarus_schlegeli,Scaridae,,,40,TL male/unsexed,1,50,30,-28,30,NA,NA,2,"Pacific Ocean:  Cocos (Ref. 9399) and Christmas (Ref. 30874) islands in the eastern Indian Ocean; then from Moluccas to the Tuamoto and Austral islands, north to the Ryukyu Islands, south to Shark Bay and the southern Great Barrier Reef and Rapa.",reef-associated; marine; depth range 1 - 50 m (Ref. 37816),,Diurnal,McCauley et al 2012,,1
Scarus_spinus,Scaridae,,,30,TL male/unsexed,2,25,30,-24,30,NA,NA,2,"Pacific Ocean:  Christmas Island in the eastern Indian Ocean (Ref. 30874), then from the Philippines to Samoa, north to the Ryukyu Islands, south to the southern Great Barrier Reef.","reef-associated; marine; depth range 2 - 25 m (Ref. 9710), usually 2 - 15 m (Ref. 37816)",,Diurnal,McCauley et al 2012,,1
Scarus_tricolor,Scaridae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Indo-Pacific:  widespread in the Indian Ocean (Ref. 9793), ranging from East Africa south to Natal, South Africa (Ref. 5490) and  east to Madagascar, Seychelles, Mauritius, Chagos Archipelago, and Maldives through the eastern Indian Ocean to French Polynesia and Pitcairn.  Replaced by Scarus forsteni in most of the Pacific, with overlapping distributions in the Philippines, eastern Indonesia and Palau (Ref. 37816).  Recently reported from Tonga (Ref. 53797).",reef-associated; marine; depth range 2 - 25 m (Ref. 37816),,Diurnal,McCauley et al 2012,,1
Cephalopholis_argus,Serranidae,,,60,TL male/unsexed,1,40,29,-34,34,24,28,4.5,"Indo-Pacific:  Red Sea to Durban, South Africa and eastward to French Polynesia and the Pitcairn group, north to the Ryukyu and Ogasawara islands,  south to northern Australia and Lord Howe Island.  May be confused with Cephalopholis cyanostigma.","reef-associated; non-migratory; marine; depth range 1 - 40 m (Ref. 37816), usually 1 - 10 m",,Dual,McCauley et al 2012,,1
Cephalopholis_leopardus,Serranidae,,,24,TL male/unsexed,1,40,31,-20,31,NA,NA,4,"Indo-Pacific:  East Africa (but not the Red Sea, Persian Gulf or South Africa) to the Society Islands, north to the Ryukyu Islands, south to northern Australia.  Including most islands of the Indian Ocean and that of  the west-central Pacific (Ref. 5222).  Record from Rodriguez by Heemstra "" Randall (1984, Ref. 3153) could not be verified and is probably erroneous (Ref. 33390).","reef-associated; non-migratory; marine; depth range 1 - 40 m (Ref. 9710), usually 3 - 20 m (Ref. 37816)",,Dual,McCauley et al 2012,,1
Cephalopholis_urodeta,Serranidae,,,28,TL male/unsexed,1,60,34,-30,34,NA,NA,4,"Indo-Pacific:  Kenya to northern South Africa and eastward to French Polynesia and the Pitcairn Islands.  Unknown from the Red Sea, Gulf of Aden, Gulf of Oman, Persian Gulf, and the coast of India.","reef-associated; marine; depth range 1 - 60 m (Ref. 5222), usually 3 - 15 m (Ref. 9710)",,Dual,McCauley et al 2012,,1
Epinephelus_howlandi,Serranidae,,,55,TL male/unsexed,1,37,28,-34,34,NA,NA,4,Western Pacific:  Ryukyu Islands south to Lord Howe Island and east to Howland Island and Samoa.  Often misidentified as Epinephelus macrospilos or Epinephelus corallicola.,reef-associated; marine; depth range 1 - 37 m (Ref. 37816),,Dual,McCauley et al 2012,,1
Epinephelus_macrospilos,Serranidae,,,51,TL male/unsexed,3,44,30,-33,33,NA,NA,3.8,"Indo-Pacific:  Kenya south to Natal, South Africa and east to the central Pacific.  Unknown from the Red Sea, Persian Gulf, and Hawaii.  Recorded from Europa Island (MNHN 1992-0498, Ref. 33390).  Often confused with Epinephelus quoyanus, Epinephelus faveatus, Epinephelus corallicola, and Epinephelus howlandi.",reef-associated; marine; depth range 1 - 30 m (Ref. 4319),,Dual,McCauley et al 2012,,1
Epinephelus_malabaricus,Serranidae,,,234,TL male/unsexed,0,150,30,-32,32,NA,NA,4.2,"Indo-Pacific:  Red Sea and East Africa to Tonga, north to Japan, south to Australia.  It is not known from the Persian Gulf, where the closely related Epinephelus coioides is common.",reef-associated; amphidromous (Ref. 51243); brackish; marine; depth range 0 - 150 m (Ref. 5222),,Dual,McCauley et al 2012,,1
Epinephelus_melanostigma,Serranidae,,,35,TL male/unsexed,0,30,29,-34,34,NA,NA,4,"Indo-West Pacific:  Natal, South Africa to the central Pacific.  Not known from the Red Sea nor Persian Gulf.",reef-associated; marine; depth range 0 - 30 m (Ref. 5213),,Dual,McCauley et al 2012,,1
Epinephelus_merra,Serranidae,,,32,TL male/unsexed,0,50,35,-35,35,NA,NA,3.8,"Indo-Pacific:  South Africa to French Polynesia.  Not known from the Red Sea, Persian Gulf, nor Asian mainland.","reef-associated; marine; depth range 0 - 50 m (Ref. 9710), usually ? - 20 m (Ref. 5222)",,Diurnal,McCauley et al 2012,,1
Epinephelus_polyphekadion,Serranidae,,,90,SL male/unsexed,1,46,30,-34,34,NA,NA,4,Indo-Pacific:  Red Sea and east coast of Africa to French Polynesia.  In the western Pacific it ranges from southern Japan to southern Queensland and Lord Howe Island.  Often confused with Epinephelus fuscoguttatus.,reef-associated; oceanodromous (Ref. 51243); marine; depth range 1 - 46 m (Ref. 9710),,Dual,McCauley et al 2012,,1
Epinephelus_spilotoceps,Serranidae,,,35,TL male/unsexed,0,30,12,-24,24,NA,NA,3.7,"Indo-Pacific:  east coast of Africa to the Line Islands.  Except for its occurrence along the African coast (Zanzibar, Tanzania to Ponta Zavora, Mozambique) it seems to be primarily an insular species, occurring at most (probably all) of the islands of tropical Indian and west-central Pacific.  Not known from the Red Sea, Persian Gulf, Sri Lanka, Philippines, Taiwan, Japan, or Australian waters (however, it is found at Rowley Shoals off Western Australia).",reef-associated; marine; depth range 0 - 30 m (Ref. 9710),,Nocturnal,McCauley et al 2012,,1
Epinephelus_tauvina,Serranidae,,,100,TL male/unsexed,1,300,30,-32,32,NA,NA,4.1,"Indo-Pacific:  Red Sea to South Africa and eastward to Ducie in the Pitcairn Group, north to Japan, south to New South Wales and Lord Howe Island.  Migration report from the eastern Mediterranean Sea (Ref. 6489, 5385) may be based on Epinephelus coioides specimens.",reef-associated; oceanodromous (Ref. 51243); marine; depth range 1 - 300 m (Ref. 28016),,Dual,McCauley et al 2012,,1
Gracila_albomarginata,Serranidae,,,40,TL male/unsexed,6,120,29,-24,29,NA,NA,4.2,"Indo-Pacific:  northern Mozambique to French Polynesia, north to Okinawa, south to the northern Great Barrier Reef.  Unknown from the Red Sea and Persian Gulf.  Recorded from Europa Island (MNHN 1992-0983, Ref. 33390).","reef-associated; marine; depth range 6 - 120 m (Ref. 9710), usually 15 - 120 m (Ref. 9710)",,Dual,McCauley et al 2012,,1
Variola_louti,Serranidae,,,83,TL male/unsexed,3,300,30,-37,37,NA,NA,4.3,"Indo-Pacific:  Red Sea to South Africa and the Pitcairn Islands, north to southern Japan, south to New South Wales, Australia.  Not found in the Persian Gulf nor in Hawaii.","reef-associated; non-migratory; marine; depth range 3 - 250 m (Ref. 30573), usually 15 - ? m (Ref. 5222)",,Dual,McCauley et al 2012,,1
Sphyraena_barracuda,Sphyraenidae,,,200,TL male/unsexed,1,100,42,-35,42,NA,NA,4.5,"Indo-Pacific:  Red Sea and east coast of Africa to Hawaii and the Marquesan and Tuamoto islands.  Western Atlantic:  Massachusetts (USA), Bermuda, and throughout the Caribbean Sea to Brazil (Ref. 9626).  Eastern Atlantic:  Sierra Leone, Cte d""quot;Ivoire, Togo, Nigeria, Senegal (Ref. 6949), Mauritania (Ref. 5377), St. Paul""quot;s Rocks (Ref. 13121), and So Tom Island (Ref. 34088).","reef-associated; brackish; marine; depth range 1 - 100 m (Ref. 6949), usually 3 - 30 m (Ref. 40849)",,Dual,McCauley et al 2012,,1
Synodus_variegatus,Synodontidae,,,40,TL male/unsexed,3,121,30,-45,45,NA,NA,4.2,"Indo-Pacific:  Red Sea and East Africa to the Hawaiian, Line, Marquesan, and Ducie islands, north to the Ryukyu Islands, south to the Lord Howe, Kermadec and Rapa islands.  Reported from New Zealand (Ref. 5755).","reef-associated; marine; depth range 3 - 121 m (Ref. 58302), usually 5 - 60 m (Ref. 37816)",,Dual,McCauley et al 2012,,1
Canthigaster_amboinensis,Tetraodontidae,,,15,TL male/unsexed,1,16,30,-30,30,NA,NA,2.7,"Indo-Pacific:  East Africa to the Galapagos Islands, north to southern Japan and Hawaii, south to the Great Barrier Reef and the Society Islands.",reef-associated; marine; depth range 1 - 16 m (Ref. 33390),,Diurnal,McCauley et al 2012,,1
Canthigaster_solandri,Tetraodontidae,,,11.5,TL male/unsexed,10,36,30,-24,30,NA,NA,3,"Indo-Pacific:  East Africa to the Line and Tuamoto Islands, north to Ryukyu Islands, south to New Caledonia and Tonga; strays to the Hawaiian Islands.  Population from the Philippines, Indonesia, New Guinea, Queensland, and Belau differs in coloration (formerly Canthigaster papua); replaced by Canthigaster margaritata in the Red Sea.",reef-associated; marine; depth range 10 - 36 m (Ref. 1602),,Diurnal,McCauley et al 2012,,1
Zanclus_cornutus,Zanclidae,,,23,TL male/unsexed,3,182,32,-37,37,24,28,2.5,"Indo-Pacific:  East Africa to Rapa and Ducie islands, north to southern Japan and the Hawaiian Islands, south to the Lord Howe Island.  Eastern Pacific:  southern Gulf of California to Peru (Ref. 9267).  Trade restricted in Germany (Anl.1 BArtSchV).","reef-associated; marine; depth range 3 - 182 m (Ref. 9710), usually 5 - 182 m (Ref. 27115)",,Diurnal,McCauley et al 2012,,1
Anotopterus_pharao,Anotopteridae,,,96,SL male/unsexed,0,5100,66,-27,66,NA,NA,4.3,"North Atlantic:  Canary Islands to Madeira and Greenland, as well as Davis Strait (Ref. 31260).  Northwest Atlantic:  Canada (Ref. 5951).",bathypelagic; marine; depth range 0 - 5100 m (Ref. 58018),,Deep,Moore,,
Menidia_menidia,Atherinopsidae,,,15,TL male/unsexed,0,3,60,25,60,1,33,3.2,Western Atlantic:  Gulf of St. Lawrence in Canada to northeastern Florida in USA.,pelagic-neritic; oceanodromous (Ref. 51243); brackish; marine; depth range 0 - ? m,,diurnal,Moore,,
Capros_aper,Caproidae,,,30,TL male/unsexed,40,700,62,10,62,NA,NA,3.1,"Eastern Atlantic:  western Norway, Skagerrak, Shetlands and western Scotland to Senegal.  Also in the Mediterranean (mainly western part).",demersal; marine; depth range 40 - 700 m (Ref. 56504),,Deep,Moore,,
Ataxolepis_apus,Cetomimidae,,,4.4,SL male/unsexed,1464, ? ,NA,NA,NA,NA,NA,,Western Central Pacific:  Indonesia and east of Wake Island (Ref. 9844).,bathypelagic; marine; depth range 1464 - 1464 m (Ref. 58018),,Deep,Moore,,
Parataeniophorus_brevis,Cetomimidae,,,4.6,TL male/unsexed,0,1400,NA,NA,NA,NA,NA,,"Western Indian Ocean:  has been taken at 2433""quot;S, 3826""quot;E and at 2113""quot;S, 4226""quot;E.  Reported from New South Wales, Australia (Ref. 7300) and California, USA.",bathypelagic; marine; depth range 0 - 1400 m (Ref. 58302),,Deep,Moore,,
Kali_macrura,Chiasmodontidae,,,12.3,SL male/unsexed,1000, ? ,NA,NA,NA,NA,NA,3.4,"Atlantic, Indian and Pacific:  in tropical and subtropical waters.  Known from relatively few scattered localities from Sargasso Sea to off Baja California, Mexico.  Eastern Atlantic: ca 28N to 15S, not known from the Gulf of Guinea/Benguela Current area (Ref. 6944).",bathypelagic; marine; depth range 1000 - ? m (Ref. 6649),,Deep,Moore,,
Parasudis_truculenta,Chlorophthalmidae,,,25,TL male/unsexed,? ,479,44,7,44,NA,NA,4.2,"Western Atlantic:  southern New England, USA to the northern coast of Brazil, north of the Amazon.  Northwest Atlantic:  Canada (Ref. 5951).","demersal; marine; depth range ? - 479 m (Ref. 47377), usually 133 - 181 m (Ref. 13608)",,Deep,Moore,,
Alosa_sapidissima,Clupeidae,,,76,TL male/unsexed,0,250,61,22,61,NA,NA,3.5,"North America:  Newfoundland (Ref. 1998), the St. Lawrence River, and Nova Scotia southward to central Florida.  Due to introductions into the Sacramento and Columbia Rivers, this species is now found from Cook Inlet, Alaska (Ref. 1998) to Baja California in Mexico and the Kamchatka Peninsula.",pelagic-neritic; anadromous (Ref. 51243); freshwater; brackish; marine; depth range 0 - 250 m (Ref. 6793),,Diurnal ,Moore,,
Diplospinus_multistriatus,Gempylidae,,,33,SL male/unsexed,50,1000,42,-38,42,NA,NA,3.5,"Atlantic, Indian and Pacific:  in central water masses.  Rather rare, but relatively abundant in the northwest and southeast Atlantic and southeast Pacific.",benthopelagic; marine; depth range 50 - 1000 m (Ref. 9784),,Deep,Moore,,
Gempylus_serpens,Gempylidae,,,100,SL male/unsexed,0,600,42,-40,42,NA,NA,4.4,"Worldwide in tropical and subtropical seas.  Adults also often caught in temperate waters.  Specimen caught on the Atlantic side of South Africa (3308""quot;S 1647""quot;E at 700 m) (Ref. 6193) probably strayed from the Indian Ocean.",pelagic-oceanic; oceanodromous (Ref. 51243); marine; depth range 0 - 600 m (Ref. 13628),,Deep,Moore,,
Lepidocybium_flavobrunneum,Gempylidae,,,200,SL male/unsexed,200,1100,50,-56,56,NA,NA,4.3,"Tropical and temperate seas of the world, but probably not occurring in the northern Indian Ocean.  Northwest Atlantic:  Canada (Ref. 5951).  Eastern Atlantic:  known from 13N off Guinea to Lobutu, Angola (Ref. 10816).",benthopelagic; oceanodromous (Ref. 51243); marine; depth range 200 - 1100 m (Ref. 44037),,Deep,Moore,,
Nealotus_tripes,Gempylidae,,,25,SL male/unsexed,914,1646,47,-35,47,NA,NA,4.2,"Atlantic, Indian and Pacific:  in tropical and temperate waters.  The southernmost Indian Ocean occurrence (2808""quot;S, 4906""quot;E) was based on an unpublished record (R/V VITYAZ-II, station 2781).",bathypelagic; oceanodromous (Ref. 51243); marine; depth range 914 - 1646 m (Ref. 5951),,Deep,Moore,,
Neoepinnula_americana,Gempylidae,,,22,SL male/unsexed,184,457,31,3,31,NA,NA,3.8,"Western Atlantic:  known only from the Gulf of Mexico, Yucatn Channel, Caribbean Sea off Venezuela, off Suriname, and off southern Brazil (Ref. 47377).",benthopelagic; marine; depth range 184 - 457 m (Ref. 6181),,Deep,Moore,,
Neoepinnula_orientalis,Gempylidae,,,30,SL male/unsexed,200,570,37,-31,37,NA,NA,4.2,"Indo-West Pacific:  off East Africa (Kenya to Natal, South Africa), Saya de Malha Bank, Arabian Sea; eastern North Indian Ocean, Flores, Banda, Arafura Sea, Sulawesi and Sulu seas, off Ryukyu Islands and southern Japan.  Reported from Fiji and Tuvalu (Ref. 12596).",benthopelagic; marine; depth range 200 - 570 m (Ref. 6181),,Deep,Moore,,
Nesiarchus_nasutus,Gempylidae,,,130,SL male/unsexed,200,1200,70,-47,70,NA,NA,4.3,"Probably distributed worldwide in tropical and subtropical seas except in eastern Pacific and northern Indian oceans.  Large-sized individuals stray in cold-temperate waters off Iceland, Norway, northern Japan and southern New Zealand (Ref. 6181).  Reported from 1941""quot;S, 7911""quot;W (Ref. 11892).",bathydemersal; marine; depth range 200 - 1200 m (Ref. 6181),,Deep,Moore,,
Paradiplospinus_antarcticus,Gempylidae,,,52,SL male/unsexed,0,2830,-31,-79,79,NA,NA,4.1,"Southern Ocean:  circumpolar.  In the belief that there was only a single species of Paradiplospinus, many authors used the name Paradiplospinusgracilis as including Paradiplospinus antarcticus.",bathypelagic; marine; depth range 0 - 2830 m (Ref. 6181),,Deep,Moore,,
Promethichthys_prometheus,Gempylidae,,,100,SL male/unsexed,80,800,50,-36,50,NA,NA,4.2,"Tropical and warm temperate waters of all oceans, but absent from eastern Pacific except at Sala y Gomez Ridge.","benthopelagic; oceanodromous (Ref. 51243); marine; depth range 80 - 800 m (Ref. 2683), usually 300 - 400 m (Ref. 5217)",,Deep,Moore,,
Rexea_antefurcata,Gempylidae,,,72.5,SL male/unsexed,230,920,-13,-40,40,NA,NA,4.4,"Southeast Pacific:  seamounts of Nazca and Sala y Gomez Ridges and at Easter Island.  Southwest Pacific:  Tasman Sea (from 23 to 37S along east coast of Australia and on seamounts), and from southern Fiji.",benthopelagic; marine; depth range 80 - 800 m (Ref. 33346),,Deep,Moore,,
Rexea_prometheoides,Gempylidae,,,40,SL male/unsexed,135,540,36,-31,36,NA,NA,4.2,"Indo-West Pacific:  off Mozambique, Kenya, Reunion, Saya de Malha Bank, north Australia, Indonesia, Viet Nam, Philippines, Ryukyu Islands, and southern Japan.  Reported from Fiji and Tuvalu (Ref. 12596).",benthopelagic; marine; depth range 135 - 540 m (Ref. 9784),,Deep,Moore,,
Rexea_solandri,Gempylidae,,,110,SL male/unsexed,100,800,-25,-48,48,NA,NA,4.3,"Southwest Pacific:  off southern, southwestern and southeastern Australia, Tasmania and New Zealand.  Occurrence records from Madagascar and Japan need to be verified.","benthopelagic; oceanodromous (Ref. 51243); marine; depth range 100 - 800 m (Ref. 6181), usually 300 - 450 m (Ref. 28786)",,Deep,Moore,,
Ruvettus_pretiosus,Gempylidae,,,300,TL male/unsexed,100,800,55,-43,55,NA,NA,4.2,Widely distributed in tropical and temperate seas of the world.,benthopelagic; oceanodromous (Ref. 51243); marine; depth range 100 - 800 m (Ref. 9302),,Deep,Moore,,
Thyrsites_atun,Gempylidae,,,200,SL male/unsexed,0,550,-21,-56,56,13,18,3.6,"Southwest Atlantic:  Uruguay, Argentina and Tierra del Fuego.  Eastern Atlantic:  Tristan da Cunha and South Africa.  Western Indian Ocean:  South Africa and the St. Paul and Amsterdam islands.  Eastern Indian Ocean:  Tasmania and southern coast of Australia.  Southwest Pacific:  New Zealand and southern coast of Australia.  Southeast Pacific:  southern Peru, Chile, and Tierra del Fuego.","benthopelagic; oceanodromous; brackish; marine; depth range 0 - 550 m (Ref. 6390), usually 100 - 500 m (Ref. 6181)",,Deep,Moore,,
Gigantactis_vanhoeffeni,Gigantactinidae,,,62,"TL (female)				</span>",300,5300,63,,63,NA,NA,4.5,"Tropical and temperate parts of all oceans.  North-eastern Atlantic:  single record at 6239""quot;N, 3345""quot;W.  Absent from Mediterranean (Ref. 36125).",bathypelagic; marine; depth range 300 - 5300 m (Ref. 559),,Deep,Moore,,
Gigantura_chuni,Giganturidae,,,15.6,SL male/unsexed,NA,NA,18,-21,21,NA,NA,4.2,"Atlantic, Indian and Pacific:  mainly in tropical areas.",bathypelagic; marine,,Deep,Moore,,
Gigantura_indica,Giganturidae,,,20.3,SL male/unsexed,17,2100,NA,NA,NA,NA,NA,4,Circumglobal:  In tropical to subtropical waters.  Deep sea.,"bathypelagic; marine; depth range 17 - 2100 m (Ref. 58302), usually 500 - 2000 m (Ref. 58302)",,Deep,Moore,,
Bonapartia_pedaliota,Gonostomatidae,,,7.2,SL male/unsexed,100,1200,55,,55,NA,NA,3.4,"Eastern Atlantic:  Rockall Trough, rare north of Gulf of Cadiz, Spain (Ref. 4769); Canary Islands to Gulf of Guinea (Ref. 4463).  Western Atlantic:  in tropical waters.  Northwest Atlantic:  Canada (Ref. 5951).  Indian Ocean:  in tropical waters.",bathypelagic; marine; depth range 100 - 1200 m (Ref. 58018),,Deep,Moore,,
Cyclothone_acclinidens,Gonostomatidae,,,3.6,SL male/unsexed,0,4416,80,-67,80,NA,NA,3.6,"Atlantic, Indian and Pacific:  in tropical and subtropical waters.  Southern Ocean:  a single specimen recorded near Bouvet Island (5630""quot;S, 1429""quot;E).  Eastern Pacific:  California Current region (Ref. 35800). South China Sea (Ref.74511).","bathypelagic; oceanodromous (Ref. 51243); marine; depth range 0 - 4416 m (Ref. 58018), usually 300 - 1500 m (Ref. 58302)",,Deep,Moore,,
Cyclothone_microdon,Gonostomatidae,,,7.6,TL male/unsexed,200,5301,67,-45,67,NA,NA,3,"Widely distributed in all Atlantic, tropical and austral Indian and Pacific Oceans (Ref. 4463). Southern Ocean:  probably circum-Antarctic between the Antarctic Polar Front and the Antarctic continental shelf (Ref. 5162).","bathypelagic; marine; depth range 200 - 5301 m (Ref. 58426), usually 200 - 2700 m (Ref. 33390)",,Deep,Moore,,
Cyclothone_parapallida,Gonostomatidae,,,6.7,SL male/unsexed,0,3140,NA,NA,NA,NA,NA,3.1,"Atlantic Ocean: Equatorial region, its northern limit appears to be around 25N (Ref. 4463).  Southwest Atlantic: Northeast Brazil.  Western Central Pacific:  Solomon and Coral seas.","bathypelagic; marine; depth range 0 - 3140 m (Ref. 58018), usually 900 - 1250 m (Ref. 4463)",,Deep,Moore,,
Cyclothone_pseudopallida,Gonostomatidae,,,4.6,SL male/unsexed,0,4938,61,-68,68,NA,NA,3.1,"Atlantic, Indian and Pacific:  in deep water of tropical to temperate zones.  Southern Ocean:  between the Antarctic Polar Front and the Antarctic continental shelf of the Indian Ocean sector, near the Balleny Islands, and the Scotia Sea.  Eastern Pacific:  California Current region (Ref. 35800). South China Sea (Ref.74511).","bathypelagic; marine; depth range 0 - 4938 m (Ref. 58302), usually 300 - 1400 m (Ref. 58302)",,Deep,Moore,,
Diplophos_taenia,Gonostomatidae,,,27.6,SL male/unsexed,612,1594,40,-30,40,NA,NA,3.2,Cosmopolitan.  Eastern Atlantic:  Portugal (Ref. 4769) south to Gulf of Guinea (Ref. 4463); Namibia and South Africa (Ref. 3991).  Northwest Atlantic:  Canada (Ref. 5951).  Western Atlantic and Indo-Pacific:  in tropical and subtropical waters.  Eastern Pacific:  California Current region (Ref. 35800); Chile (Ref. 9068). South China Sea (Ref.74511).,"bathypelagic; marine; depth range 0 - 1594 m (Ref. 74511), usually 450 - 610 m (Ref. 35800)",,Deep,Moore,,
Gonostoma_elongatum,Gonostomatidae,,,27.5,TL male/unsexed,785,4740,65,,65,NA,NA,3.3,"Worldwide.  Eastern Atlantic:  scattered records from Iceland (Ref. 4769) south to Cape Verde and Gulf of Guinea; also between 30S-35S.  Western Atlantic:  Gulf of Mexico (Ref. 27768).  North Atlantic:  65-30N.  Indo-Pacific:  in tropical and subtropical waters.  Eastern Pacific:  found in California and Baja California (Ref. 35800), and Chile (Ref. 9068).
Indian Ocean, tropical and subtropical waters (Ref. 47377). South China Sea and East China Sea (Ref.74511).","bathypelagic; marine; depth range 0 - 4740 m (Ref. 58018), usually 500 - 1200 m",,Deep,Moore,,
Gonostoma_longipinnis,Gonostomatidae,,,NA,NA,0,72,NA,NA,NA,NA,NA,3.4,Southeast Pacific:  Chile.  Western Central Pacific.,bathypelagic; marine; depth range 0 - 72 m (Ref. 58018),,Deep,Moore,,
Margrethia_obtusirostra,Gonostomatidae,,,8.3,SL male/unsexed,100,1739,33,-49,49,NA,NA,3.5,"Eastern Atlantic:  off Portugal south to Morocco including the Azores, Madeira and Canary Islands; off Cape Agulhas, South Africa (Ref. 3991).  Western Atlantic:  Southeastern Florida and Bermuda to Venezuela, including the Gulf of Mexico and the Caribbean Sea (Ref. 37039).  Elsewhere,  South Atlantic, tropical and subtropical Indo-Pacific.",bathypelagic; marine; depth range 100 - 1739 m (Ref. 58018),,Deep,Moore,,
Triplophos_hemingi,Gonostomatidae,,,36,SL male/unsexed,200,2000,NA,NA,NA,NA,NA,3.4,Tropical waters of all oceans; to 18S in eastern Atlantic.,bathypelagic; oceanodromous (Ref. 51243); marine; depth range 200 - 2000 m (Ref. 4463),,Deep,Moore,,
Grammicolepis_brachiusculus,Grammicolepididae,,,64,TL male/unsexed,300,1026,42,-37,42,NA,NA,4,"Eastern Atlantic:  Spain to the Gulf of Guinea and southward to Durban, South Africa.  Western Atlantic:  Georges Bank to off Suriname.  North Pacific:  Japan and Hawaii.","bathypelagic; marine; depth range 400 - 1026 m (Ref. 4517), usually 500 - 700 m (Ref. 52595)",,Deep,Moore,,
Xenolepidichthys_dalgleishi,Grammicolepididae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eastern Atlantic:  Gulf of Guinea, off Senegal, and off South Africa; reported from Namibia (Ref. 4255).  Western Atlantic:  Virginia, USA to northern South America (Ref. 7251).  Western Pacific:  Japan, Philippines, New Caledonia, between Fiji and Tonga Islands, Australia (Ref. 7300), New Zealand (Ref. 5755).  Indian Ocean (Ref. 47377).","benthopelagic; marine; depth range 128 - 885 m (Ref. 4503), usually 200 - 400 m (Ref. 4503)",,Deep,Moore,,
Himantolophus_albinares,Himantolophidae,,,19,SL male/unsexed,330,1950,NA,NA,NA,NA,NA,4.2,Atlantic Ocean.,bathypelagic; marine; depth range ? - 845 m (Ref. 13608),,Deep,Moore,,
Himantolophus_appelii,Himantolophidae,,,40,TL male/unsexed,338,1360,NA,NA,NA,NA,NA,4,Circumglobal in the southern hemisphere except eastern Pacific.,bathypelagic; marine; depth range 338 - 1300 m (Ref. 58502),,Deep,Moore,,
Himantolophus_groenlandicus,Himantolophidae,,,4,SL male/unsexed,830, ? ,NA,NA,NA,NA,NA,4.3,Tropical and temperate parts of all oceans.,bathypelagic; marine; depth range ? - 830 m (Ref. 13608),,Deep,Moore,,
Himantolophus_sagamius,Himantolophidae,,,20,SL male/unsexed,613,1200,NA,NA,NA,NA,NA,4.5,Western Pacific.  Southeast Pacific:  Chile (Ref. 27540).,bathypelagic; marine; depth range 613 - 1000 m (Ref. 58302),,Deep,Moore,,
Sargocentron_xantherythrum,Holocentridae,,,17,TL male/unsexed,1,217,NA,NA,NA,NA,NA,3.5,Eastern Central Pacific:  known only from the Hawaiian Islands and Johnston Atoll.,reef-associated; marine; depth range 1 - 217 m (Ref. 58302),no,Nocturnal,Moore,,
Icosteus_aenigmaticus,Icosteidae,,,213,TL male/unsexed,0,1420,66,32,66,NA,NA,4.5,"North Pacific:  Japan to southeastern Alaska and to Point Loma, southern California, USA.","bathypelagic; marine; depth range 0 - 1420 m (Ref. 50550), usually 18 - 732 m (Ref. 2850)",,Deep,Moore,,
Bathypterois_dubius,Ipnopidae,,,20.5,SL male/unsexed,260,2800,,-6,6,NA,NA,3.4,Eastern Atlantic:  northeast Atlantic to off Sierra Leone; one record from the Mediterranean.  One record from the northwest Atlantic.,bathydemersal; marine; depth range 260 - 2800 m (Ref. 3397),,Deep,Moore,,
Bathypterois_grallator,Ipnopidae,,,36.8,SL male/unsexed,878,4720,45,-27,45,NA,NA,3.1,"Eastern Atlantic:  scattered records in the Mediterranean, off Cape Blanc in Mauritania, Azores, Gulf of Guinea and off equatorial Africa.  Western Atlantic:  USA to Gulf of Mexico including Caribbean and along Rio Grande Rise.  Western Indian Ocean:  Mozambique Channel.  Elsewhere, equatorial western Pacific (Ref. 3590) and eastern Pacific (Ref. 58302).",bathydemersal; marine; depth range 878 - 4720 m (Ref. 58302),,Deep,Moore,,
